id,createdDate,updatedDate,deletedDate,name
1,2021-11-27 13:22:46.038267,2021-11-27 13:22:46.038267,,fl oz
2,2021-11-27 17:18:50.382217,2021-11-27 17:18:50.382217,,garnish
3,2021-11-27 17:58:03.374716,2021-11-27 18:36:32.449066,,dash(es)
4,2021-11-28 20:50:57.515022,2021-11-28 20:50:57.515022,,rinse
7,2021-12-05 13:58:21.413292,2021-12-05 13:58:21.413292,,tsp
8,2021-12-05 15:59:58.025625,2021-12-05 15:59:58.025625,,splash(es)
9,2021-12-05 22:56:25.583415,2021-12-30 20:04:41.070405,,sprinkle(s)
10,2021-12-30 20:05:24.987567,2021-12-30 20:05:24.987567,,to fill
11,2022-02-26 20:38:50.01952,2022-02-26 20:38:50.01952,,rim
