id,createdDate,updatedDate,deletedDate,name
1,2021-11-27 13:23:39.759747,2021-11-27 13:23:39.759747,,Coupe
2,2021-11-27 17:20:16.449983,2021-11-27 17:20:16.449983,,Cocktail
3,2021-11-27 17:20:21.396937,2021-11-27 17:20:21.396937,,Martini
4,2021-11-27 17:51:52.824339,2021-11-27 17:51:52.824339,,Rocks
5,2021-11-27 18:30:56.594056,2021-11-27 18:30:56.594056,,Highball
6,2021-11-28 21:15:03.789185,2021-11-28 21:15:03.789185,,Wine
7,2021-12-04 20:23:56.190178,2021-12-04 20:23:56.190178,,Flute
8,2021-12-04 20:36:47.82828,2021-12-04 20:36:47.82828,,Julep
9,2022-02-27 14:11:43.926084,2022-02-27 14:11:43.926084,,Collins
